160,26.352334,-80.053417,3,1,1,1,2
161,26.349626,-80.053439,3,1,1,1,2
162,26.319866,-80.058691,3,1,1,1,2
163,26.273841,-80.062067,3,1,2,1,2
164,26.382121,-80.052172,3,1,2,1,2
165,26.327069,-80.055627,3,2,1,1,2
166,26.324360,-80.055649,3,2,1,1,2
167,26.321658,-80.056672,3,2,1,1,2
168,26.311727,-80.056753,3,2,1,1,2
169,26.297295,-80.058873,3,2,1,1,2
001,18.309961,-64.853752,4,1,1,1,2
002,18.310800,-64.860382,4,1,1,1,2
003,18.323234,-64.835920,4,1,1,1,2
004,18.311147,-64.961121,4,1,2,1,2
005,18.312603,-64.951206,4,1,2,1,2
006,18.334872,-64.846922,4,2,1,1,2
007,18.353806,-64.850908,4,2,1,1,2
008,18.380511,-64.936356,4,2,1,1,2
009,18.400295,-64.900615,4,2,1,1,2
010,18.313980,-64.858524,4,2,1,1,2
