3001,26.22816,-80.08421,3,1,1,1,f,13
3002,26.21689,-80.08630,3,1,1,1,f,15
3003,26.19884,-80.08950,3,1,1,1,f,21
3004,26.19607,-80.09108,3,1,1,1,f,18
3005,26.18804,-80.09303,3,1,1,1,f,13
3006,26.18623,-80.09143,3,1,1,1,f,18
3007,26.17177,-80.09015,3,1,1,1,f,17
3008,26.14878,-80.09483,3,1,1,1,f,31
3009,26.14425,-80.09237,3,1,1,1,f,20
3010,26.14157,-80.09689,3,1,1,1,f,20
3011,26.12892,-80.09549,3,1,1,1,f,19
3012,26.10864,-80.10214,3,1,1,1,f,13
3013,26.10861,-80.09664,3,1,1,1,f,18
3014,26.08156,-80.10285,3,1,1,1,f,16
3015,26.07659,-80.10139,3,1,1,1,f,26
3016,26.06937,-80.10244,3,1,1,1,f,25
3017,26.04277,-80.10764,3,1,1,1,f,25
3018,26.01300,-80.11336,3,1,1,1,f,12
3019,26.00931,-80.10305,3,1,1,1,f,30
3020,26.00708,-80.10392,3,1,1,1,f,28
3021,25.98769,-80.10756,3,1,1,1,f,25
3022,25.98321,-80.11359,3,1,1,1,f,22
3023,25.97600,-80.11564,3,1,1,1,f,18
3024,25.97327,-80.11266,3,1,1,1,f,21
3025,25.96288,-80.11174,3,1,1,1,f,22
3026,25.96284,-80.10525,3,1,1,1,f,31
3027,25.95787,-80.10479,3,1,1,1,f,31
3028,25.92807,-80.10352,3,1,1,1,f,34
3029,25.92312,-80.10555,3,1,1,1,f,27
3030,25.91726,-80.10709,3,1,1,1,f,21
3031,25.91227,-80.10364,3,1,1,1,f,31
3032,25.90099,-80.10503,3,1,1,1,f,29
3033,25.89288,-80.10827,3,1,1,1,f,21
3034,25.88798,-80.11734,3,1,1,1,f,21
3035,25.88522,-80.11231,3,1,1,1,f,23
3036,25.87344,-80.10344,3,1,1,1,f,26
3037,25.86261,-80.10401,3,1,1,1,f,26
3038,25.85718,-80.10206,3,1,1,1,f,27
